Col_Name,Data_Type,Computed question name
id,Factor,id
tags,character,tags
uuid,character,uuid
email,Factor,email
notes,character,notes
edited,logical,edited
status,Factor,status
version,Factor,version
username,Factor,username
duration,CharNum,duration
xformid,Factor,xformid
end00000000,Date-time,end00000000
phonenumber,Factor,phonenumber
start000000,Date-time,start000000
attachments,Image,attachments
geolocation,geo-coordinates,geolocation
mediacount,Numeric,mediacount
totalmedia,Numeric,totalmedia
uuid.1,character,uuid.1
intendtime,Time,intendtime
timestarted,Time,timestarted
submittedby,character,submittedby
reviewstatus,Factor,reviewstatus
instanceid,character,instanceid
submissiontime,Date-time,submissiontime
xformidstring,Factor,xformidstring
instancename,character,instancename
bamboodatasetid,character,bamboodatasetid
submissionstatus,Factor,submissionstatus
mediaallreceived,logical,mediaallreceived
interviewstarttime,Time,0007. INTERVIEW START TIME
obtainedthesignedinformedco,Factor,0008. OBTAINED THE SIGNED INFORMED CONSENT?
date,Date,0003. Date
date.1,Date,date.1
interviewersname,character,0004. Interviewer’s Name
nameofparticipant,character,0001. Name of participant
signatureofinterviewer,Image,0005. Signature of Interviewer
signatureofparticipant,Image,0002. Signature of Participant
indicatorname,character,indicatorname
indicatornamecount,numeric,indicatornamecount
totnumberofindicators,numeric,totnumberofindicators
corfaccateg,Factor,1011. CHECK THAT THE FACILITY IS CORRECTLY CATEGORIZED
manauthorit,Factor,1012. Which of the responses best describes the managing authority for this facility?
totalnumberofindicators,numeric,totalnumberofindicators
statusofindicatorsonnhmis,character,statusofindicatorsonnhmis
state,Factor,1001. State
selectallindicatorsapplicabl,Factor,5002. Select all indicators applicable
selecttheapplicableindicator,Factor,5010. Select the applicable indicator(s)
statusofindicatorsonnhmiscount,Factor,statusofindicatorsonnhmiscount
others,character,3105. Please specify other activities that are part of the linkages the facility has with  community health workers
facmanquali,Factor,1010b. What is your qualification?
facmanquest,Factor,1010a. Are you the officer in charge of this facility?
bpleasespecify,character,1005b. Please Specify
nameoffacility,Factor,1004. Name of facility
date43,Date,4317. DATE
bhoursofservice,Factor,1009b. Hours of Service
senatorialdistrict,Factor,1002. Senatorial District
resultcodes,Factor,2702. RESULT CODES
othsrcsfund,character,Pls specify other sources funding at least one casual staff
pleasespecify,character,2601b. Please specify
localgovernmentarealga,Factor,1003. Local Government Area (LGA)
interviewend43,Time,4310. INTERVIEW END TIME
aservicelevelsavailable,Factor,1009a. Service levels available
recordfacilitysettlement,Factor,1008. Record facility settlement
interviewendtime,Time,2701. INTERVIEW END TIME
nameofsupervisor,character,2707. NAME OF SUPERVISOR
dateintobservations,Date,DATE
howmanybedsarethere,Numeric,1501b. How many beds are there?
anyothercomments43,character,4314. ANY OTHER COMMENTS
nameofsupervisor43,character,4316. NAME OF SUPERVISOR
aisthisfacilityknownbyany,Factor,1005a. Is this facility known by any other names?
geocoordinatesofthefacility,geo-coordinates,0002. Geo Coordinates of the facility
physicallocationaddressoffa,character,1006. Physical location/address of facility
takeapictureofthefrontof,Image,"0001. Take a picture of the facility, visibly capturing the signpost where available"
disposalare,Factor,2402b. ASK TO SEE THE PLACE USED BY THE FACILITY FOR DISPOSAL OF SHARPS WASTE AND INDICATE THE CONDITION OBSERVED.
guidonwasmg,Factor,2408. Does this facility have any guidelines on health care waste management?
medwadispla,Factor,2404b. ASK TO SEE THE PLACE USED FOR DISPOSAL OF MEDICAL WASTE BY THE FACILITY AND INDICATE THE CONDITION OBSERVED
medwastedis,Factor,2403b. How does the facility finally dispose off medical waste other than sharp boxes?
optopenburn,Factor,i. Options for OPEN BURNING
optopnbunme,Factor,i. Options for OPEN BURNING (Medical Waste)
wastedispme,Factor,"2401. How does this facility finally dispose of sharps waste (e.g., filled sharps boxes)?"
wastetraini,Factor,2409. Have you or any provider(s) received formal training in health care waste management practices in the past two years?
resultcodeslastvisit,Factor,4311. RESULT CODES (LAST VISIT)
supervisorsobservations,character,2706. SUPERVISOR'S OBSERVATIONS:
interviewstarttimedelivs,Time,4104. INTERVIEW START TIME
supervisorsobservations43,character,4315. SUPERVISOR'S OBSERVATIONS
doesthisfacilityhaveambul,Factor,2602a. Does this facility have a functional ambulance or other vehicle for emergency transportation for clients that is stationed at this facility or operates from this facility?
commentsabouttherespondent,character,2703. COMMENTS ABOUT THE RESPONDENT:
aredeliveryandnewborncares,Factor,4105. Are delivery and newborn care services offered in the outpatient or inpatient service area?
doesthisfacilityofferdelive,Factor,4102. Does this facility offer delivery (including normal and/or assisted delivery)
commentsonspecificques43,character,4313. COMMENTS ON SPECIFIC QUESTIONS
excludinganydeliverybedsare,Factor,"1501a. Excluding any delivery beds, are there overnight/inpatient beds in this facility, both for adults and children?"
howmanydedicatedmartenitybe,Numeric,1502b. How many dedicated martenity beds are there?
oftheovernightinpatientbeds,Factor,"1502a. Of the overnight/inpatient beds in this facility, are there dedicated maternity beds?"
commentsonspecificquestions,character,2704. COMMENTS ON SPECIFIC QUESTIONS:
commentsabouttherespond43,character,4312. COMMENTS ABOUT THE RESPONDENT
didthefacilityreceiveasupe,Factor,1301. Did the facility receive a supervision visit from the LGA-PHC in the last fiscal year?
doesthisfacilityreceiveany,Factor,"1306. Does this facility receive any external supervision, apart from the LGA?"
howmanytimesinthelast3mo,Factor,1309. How many times in the last 3 months did this facility receive any supportive supervision from outside the facility?
isthereanydocumentationfrom,Factor,1311. Is there any documentation from supervisory visits during the past 3 months?
pleasetellmeifthisfacility,Factor,1307a. Please tell me if this facility has received external supportive supervision from the indicated sources.
whenwasthelasttimeasuperv,Factor,"1308. When was the last time a supervisor from outside this facility, either LGA, state, zonal, or federal, came here on a supportive supervisory visit?"
doesthisfacilityroutinelyca,Factor,1401. Does this facility routinely carry out quality assurance activities for any service areas? (e.g SOP)
doesthisfacilitysystematical,Factor,"1403. Does this facility systematically practice any other type of continuous quality improvement?  This refers to a systematic process of identifying and addressing, such as COPE¹?"
howmanycasualstaffarefunde,Numeric,How many casual staff are funded by ${oth_srcs_fund}
btakeapictureoftheambulan,Image,2602b. Take a picture of the ambulance
doesthisfacilityhaveaccess,Factor,2605. Does this facility have access to an ambulance or other vehicle for emergency transport for clients that is stationed at another facility or that operates from another facility in near proximity?
isfuelavailabletodayforthe,Factor,2603. Is fuel available today for the ambulance or other emergency transportation vehicle?
isthereadriveravailableons,Factor,2604. Is there a driver available onsite or on call today?
howoftendotheymeet,Factor,1203. How often do they meet?
lga,Numeric,i. LGA
lga2,Numeric,i. LGA
donor2,Factor,iv. Donor
state2,Factor,ii. STATE
state.1,Factor,state.1
duringotherseasonsisthewat,Factor,"2301d. During other seasons is the water more available, less available, or not available?"
isthereaseasonaldifference,Factor,2301c. Is there a seasonal difference in water availability?
iswateravailablefromthisso,Factor,2302. Is water available from this source on facility premises?
whatistheaveragewalkingtim,Numeric,2301a. What is the average walking time to and from the main source of water?
