Col_Name,Data_Type,Computed.question.name
start000000,Date-time,start000000
end00000000,Date-time,end00000000
phonenumber,factor,phonenumber
username,factor,username
email,factor,email
time_started,Time,time_started
name_of_participant,factor,Name of participant
signature_of_participant,Image,Signature of participant
date,Date,Date
interviewer_s_name,factor,Interviewer’s Name
signature_of_person_obtaining_c,Image,Signature of Interviewer
date_of_consent,Date,Date of consent
interview_start_time,Time,INTERVIEW START TIME
Interview_start_time_24_hours,Time,Interview_start_time_24_hours
obtained_the_signed_informed_co,factor, OBTAINED THE SIGNED INFORMED CONSENT?
give_reason,character,Give reason
take_a_picture_of_the_front_of,Image,"Take a picture of the facility, visibly capturing the signpost where available"
FacLocation,numeric,Geocoordinates of the facility
FacLocation_latitude,numeric,Geocoordinates of the facility
FacLocation_longitude,numeric,Geocoordinates of the facility
FacLocation_altitude,numeric,Geocoordinates of the facility
FacLocation_precision,numeric,Geocoordinates of the facility
s_StateName00,factor,1001a. State
CalcState00,factor,CalcState00
s_FacilityTyp,factor,1001b. Facility Type
CalcFacType,factor,CalcFacType
FacilitNam1,factor,Name of tertiary facility
s_LGAName0000,factor,Local Government Area (LGA)
CalcLGA0000,factor,CalcLGA0000
s_WardName000,factor, Senatorial district
FacilitNam2,factor,Name of facility
FacilitName,factor,FacilitName
FacHasOther,factor,Is this facility known by any other names?
FacOtherNam,character,PLEASE SPECIFY OTHER NAME.
physical_location_address_of_fa,character,Physical location/address of facility
facility_unique_identifier_code,character,Facility unique identifier/code
record_facility_settlement,factor,Record facility settlement
a_service_levels_available,factor,Service levels available
b_hours_of_service,factor,Hours of Service
other_please_specify_hours_of_s,numeric, Other: Please specify hours of service
a_are_you_the_officer_in_charge,factor,Are you the MD/CMD of this facility?
b_what_is_your_qualification,factor,What is your qualification?
others_please_specify,character, Please specify your qualification
c_what_is_your_position_post,character, What is your position/post?
check_that_the_facility_is_corr,factor,Check that the facility is correctly categorised.
selected_fac_catego,factor,selected_fac_catego
specific_fac_cat_level,factor,{selected_fac_catego}: Please choose
please_specify_facility_categor,character,Other: Please specify facility category
which_of_the_responses_best_des,factor,Which of the responses best describes the managing authority for this facility?
please_specify_the_managing_aut,character,Other: Please specify the managing authority for this facility
does_this_facility_have_a_speci,factor,Does this facility have a specified catchment area—that is a defined geographic area for which the facility has direct responsibility for serving?
do_you_know_how_many_people_liv,factor,Do you know how many people live in the catchment area for this facility?
how_many_people_live_in_the_cat,character,How many people live in the catchment area for this facility?
what_is_the_basis_for_the_catch,factor,What is the basis for the catchment population number?
other_please_specify_the_basis_,character,Other: Please specify the basis for the catchment population number
has_any_of_the_staff_been_trai,factor,Has any of the staff been  trained on referral system
does_the_facility_maintain_reco,factor,Does the facility maintain records of patients who are received through referral from other facilities?
