"","x"
"1","start000000"
"2","end00000000"
"3","phonenumber"
"4","username"
"5","email"
"6","time_started"
"7","name_of_participant"
"8","signature_of_participant"
"9","date"
"10","interviewer_s_name"
"11","signature_of_person_obtaining_c"
"12","date_of_consent"
"13","interview_start_time"
"14","Interview_start_time_24_hours"
"15","obtained_the_signed_informed_co"
"16","give_reason"
"17","take_a_picture_of_the_front_of"
"18","FacLocation"
"19","FacLocation_latitude"
"20","FacLocation_longitude"
"21","FacLocation_altitude"
"22","FacLocation_precision"
"23","s_StateName00"
"24","CalcState00"
"25","s_FacilityTyp"
"26","CalcFacType"
"27","FacilitNam1"
"28","s_LGAName0000"
"29","CalcLGA0000"
"30","s_WardName000"
"31","FacilitNam2"
"32","FacilitName"
"33","FacHasOther"
"34","FacOtherNam"
"35","physical_location_address_of_fa"
"36","facility_unique_identifier_code"
"37","record_facility_settlement"
"38","a_service_levels_available"
"39","b_hours_of_service"
"40","other_please_specify_hours_of_s"
"41","a_are_you_the_officer_in_charge"
"42","b_what_is_your_qualification"
"43","others_please_specify"
"44","c_what_is_your_position_post"
"45","check_that_the_facility_is_corr"
"46","selected_fac_catego"
"47","specific_fac_cat_level"
"48","please_specify_facility_categor"
"49","which_of_the_responses_best_des"
"50","please_specify_the_managing_aut"
"51","does_this_facility_have_a_speci"
"52","do_you_know_how_many_people_liv"
"53","how_many_people_live_in_the_cat"
"54","what_is_the_basis_for_the_catch"
"55","other_please_specify_the_basis_"
"56","has_any_of_the_staff_been_trai"
"57","does_the_facility_maintain_reco"
"58","ask_to_see_evidence_of_document"
"59","does_the_facility_use_a_pre_pri"
"60","ask_to_see_a_copy_of_the_form"
"61","does_the_facility_keep_records_"
"62","ask_to_confirm_evidence_of_docu"
"63","using_the_most_common_means_for"
"64","is_there_any_governance_committ"
"65","do_the_members_of_the_committee"
"66","how_often_do_they_meet"
"67","other_please_specify_frequency"
"68","did_any_member_of_this_committe"
"69","how_many_visits_were_made_durin"
"70","does_this_facility_have_a_core_"
"71","is_there_any_routine_system_in_"
"72","when_was_the_most_recent_manage"
"73","are_there_any_written_notes_or_"
"74","ask_to_see_the_document"
"75","reserved_name_for_field_list_labels_96"
"76","finance_issues"
"77","staffing_issues"
"78","general_management"
"79","service_issues"
"80","patient_care_issues"
"81","supply_issues"
"82","facility_performance"
"83","at_the_facility_level_is_there_"
"84","reserved_name_for_field_list_labels_107"
"85","information_from_routine_hmis_r"
"86","information_from_special_report"
"87","any_tables_or_reports_that_pres"
"88","any_table_or_reports_that_prese"
"89","any_graphic_presentation_of_imm"
"90","any_graphic_presentation_of_dat"
"91","other_information_source_routin"
"92","calc_other_information_source"
"93","other_specified_other_informati"
"94","any_rou_review"
"95","oth_route_review"
"96","does_this_facility_monitor_any_"
"97","reserved_name_for_field_list_labels_123"
"98","pre_discharge_maternal_deaths"
"99","pre_discharge_maternal_deaths2"
"100","neonatal_deaths_in_health_faci"
"101","institutional_stillbirth_rate"
"102","pre_discharge_neonatal_mortali"
"103","obstetric_case_fatality_rate_d"
"104","pre_discharge_counselling_for"
"105","companion_of_choice"
"106","women_who_experienced_physical"
"107","newborns_breastfed_within_one"
"108","immediate_postpartum_uteronic"
"109","newborns_with_birthweight_docu"
"110","premature_babies_initiating_km"
"111","basic_hygiene_provision"
"112","basic_sanitation_available_to"
"113","chlorhexidine_gel_for_cord"
"114","anc_x_4_coverage"
"115","contraceptive_prevalence_rate"
"116","delivery_by_skilled_provider"
"117","number_of_outpatient_visits"
"118","iptp_services"
"119","paediatric_curative_services"
"120","pregnant_women_tested_for_hiv"
"121","did_the_facility_receive_a_supe"
"122","how_often_did_the_smoh_fmoh_sup"
"123","other_please_specify"
"124","when_was_the_most_recent_visit_"
"125","during_the_most_recent_visit_by"
"126","did_they_leave_a_copy_of_the_ch"
"127","ask_to_see_the_written_document"
"128","does_this_facility_receive_any_"
"129","lga_level"
"130","donor"
"131","other"
"132","other_sources_please_specify"
"133","please_specify_the_period_when__count"
"134","funding_source_name"
"135","funding_source_label"
